Consensus ID	Source	Class	Order	Family	SubFamily	FamSource	Length
con46_297	FLFtoDBGP	RNA	LTR	Gypsy	297	BDGP	7225
con48_412	FLFtoDBGP	RNA	LTR	Gypsy	412	BDGP	7779
con25_1360	FLFtoDBGP	DNA	TIR	P	1360	BDGP	4634
con6_1731	FLFtoDBGP	RNA	LTR	Copia	1731	BDGP	4671
con33_17-6	FLFtoDBGP	RNA	LTR	Gypsy	17-6	BDGP	7772
con10_3S18	FLFtoDBGP	RNA	LTR	Pao	3S18	BDGP	6173
con10_accord	FLFtoDBGP	RNA	LTR	Gypsy	accord	BDGP	7738
DBGP_accord2	DBGP	RNA	LTR	Gypsy	accord2	BDGP	7650
DBGP_baggins	DBGP	RNA	LINE	Loa	baggins	BDGP	5453
con9_Bari1	FLFtoDBGP	DNA	TIR	TcMar-Tc1	Bari1	BDGP	1765
DBGP_Bari2	DBGP	DNA	TIR	TcMar-Tc1	Bari2	BDGP	1064
UnFUnClUnAlig_RLX-incomp_SLO_4	UnFUnClUnAlig	RNA	LTR	Pao	BEL-4_Dfi	RepBase	473
con15_flea	FLFtoDBGP	RNA	LTR	Gypsy	Blastopia	BDGP	5072
con16_blood	FLFtoDBGP	RNA	LTR	Gypsy	blood	BDGP	7558
con26_BS	FLFtoDBGP	RNA	LINE	Jockey	BS	BDGP	5320
con24_X-element	FLFtoDBGP	RNA	LINE	Jockey	BS2	BDGP	4811
DBGP_BS3	DBGP	RNA	LINE	Jockey	BS3	BDGP	1790
con2_BS4	FLFtoDBGP	RNA	LINE	Jockey	BS4	BDGP	876
con20_Burdock	FLFtoDBGP	RNA	LTR	Gypsy	Burdock	BDGP	6466
con6_UnFmcl028_RLX-incomp	UnFmclCluster	RNA	LTR	Gypsy	Chimpo	RepBase	4480
DBGP_Circe	DBGP	RNA	LTR	Gypsy	Circe	BDGP	7450
con23_copia	FLFtoDBGP	RNA	LTR	Copia	Copia	BDGP	5382
UnFUnClUnAlig_RLX-incomp_RAL177	UnFUnClUnAlig	RNA	LTR	Copia	Copia-1_Dse	RepBase	2956
con10_UnFmcl019_RLX-incomp	UnFmclCluster	RNA	LTR	Copia	Copia-3_Dbp	RepBase	3158
con8_UnFmcl025_RLX-comp	UnFmclCluster	RNA	LTR	Copia	Copia1	RepBase	4941
con4_UnFmcl032_RLX-incomp	UnFmclCluster	RNA	LTR	Copia	Copia2	RepBase	3389
con7_Dm88	FLFtoDBGP	RNA	LTR	Copia	Copia2	BDGP	4559
con5_Cr1a	FLFtoDBGP	RNA	LINE	CR1	Cr1a	BDGP	4489
DBGP_Q-element	DBGP	RNA	LINE	CR1	Cr1a	BDGP	759
DBGP_Dana-Tom	DBGP	RNA	LTR	Gypsy	Dana-Tom	BDGP	7060
con13_diver	FLFtoDBGP	RNA	LTR	Pao	diver	BDGP	6227
con2_diver2	FLFtoDBGP	RNA	LTR	Pao	diver2	BDGP	5242
con12_Doc	FLFtoDBGP	RNA	LINE	Jockey	Doc	BDGP	4784
con4_Doc2	FLFtoDBGP	RNA	LINE	Jockey	Doc2	BDGP	4866
con3_Doc3	FLFtoDBGP	RNA	LINE	Jockey	Doc3	BDGP	4757
UnFUnClUnAlig_RIX-incomp_JUT_2	UnFUnClUnAlig	RNA	LINE	Jockey	Doc3	RepBase	773
con2_Doc4	FLFtoDBGP	RNA	LINE	Jockey	Doc4	BDGP	4848
con3_Porto1	FLFtoDBGP	RNA	LINE	Jockey	Doc5	BDGP	4713
con14_Juan	FLFtoDBGP	RNA	LINE	Jockey	Doc6	BDGP	4420
con14_F-element	FLFtoDBGP	RNA	LINE	Jockey	F-element	BDGP	4733
con48_FB	FLFtoDBGP	DNA	TIR	TcMar-Tc1	FB4	BDGP	3490
DBGP_frogger	DBGP	RNA	LTR	Copia	frogger	BDGP	2483
con2_Fw2	FLFtoDBGP	RNA	LINE	Jockey	Fw2	BDGP	3967
DBGP_Fw3	DBGP	RNA	LINE	Jockey	Fw3	BDGP	3132
con4_G-element	FLFtoDBGP	RNA	LINE	Jockey	G-element	BDGP	4483
con8_G2	FLFtoDBGP	RNA	LINE	Jockey	G2	BDGP	4362
con2_G3	FLFtoDBGP	RNA	LINE	Jockey	G3	BDGP	4611
con3_G4	FLFtoDBGP	RNA	LINE	Jockey	G4	BDGP	3874
DBGP_G5	DBGP	RNA	LINE	Jockey	G5	BDGP	4856
DBGP_G5A	DBGP	RNA	LINE	Jockey	G5A	BDGP	2841
con3_G6b	FLFtoDBGP	RNA	LINE	Jockey	G6	BDGP	2961
con7_G6a	FLFtoDBGP	RNA	LINE	Jockey	G6	BDGP	2055
DBGP_G7	DBGP	RNA	LINE	Jockey	G7	BDGP	1192
con4_GATEa	FLFtoDBGP	RNA	LTR	Pao	GATE	BDGP	3827
con4_GATE	FLFtoDBGP	RNA	LTR	Pao	GATE	BDGP	9153
con2_gtwin	FLFtoDBGP	RNA	LTR	Gypsy	gtwin	BDGP	7425
con3_gypsy	FLFtoDBGP	RNA	LTR	Gypsy	gypsy	BDGP	7506
UnFmclCluster039_RLX-incomp_COR	UnFmclCluster	RNA	LTR	Gypsy	Gypsy-1_Dsim	RepBase	4043
UnFUnClUnAlig_RLX-incomp_COR	UnFUnClUnAlig	RNA	LTR	Gypsy	Gypsy-1_Dsim	RepBase	661
UnFUnClUnAlig_RLX-incomp_COR_2	UnFUnClUnAlig	RNA	LTR	Gypsy	Gypsy-1_Dsim	RepBase	1490
UnFUnClUnAlig_RLX-incomp_TOM_3	UnFUnClUnAlig	RNA	LTR	Gypsy	Gypsy-1_Dsim	RepBase	642
con4_UnFmcl034_RLX-incomp	UnFmclCluster	RNA	LTR	Gypsy	Gypsy-2_Dsim	RepBase	5371
con41_UnFmcl001_RLX-incomp	UnFmclCluster	RNA	LTR	Gypsy	Gypsy-2_Dsim	tBlastx	5069
UnFUnClUnAlig_RLX-incomp_MUN_3	UnFUnClUnAlig	RNA	LTR	Gypsy	Gypsy-24_DY	RepBase	2030
con12_UnFmcl011_RLX-incomp	UnFmclCluster	RNA	LTR	Gypsy	Gypsy-24_Dya	RepBase	5525
UnFUnClUnAlig_RLX-incomp_MUN	UnFUnClUnAlig	RNA	LTR	Gypsy	Gypsy-26_Dya	RepBase	1064
UnFUnClUnAlig_RLX-incomp_TOM_2	UnFUnClUnAlig	RNA	LTR	Gypsy	Gypsy-35_Del	RepBase	464
UnFUnClUnAlig_RLX-incomp_COR_3	UnFUnClUnAlig	RNA	LTR	Gypsy	Gypsy-4_Dsim	RepBase	1072
UnFmclCluster039_RLX-incomp_TOM	UnFmclCluster	RNA	LTR	Gypsy	Gypsy-6_Dse	RepBase	3331
con21_springer	FLFtoDBGP	RNA	LTR	Gypsy	gypsy1	BDGP	7880
con2_gypsy10	FLFtoDBGP	RNA	LTR	Gypsy	gypsy10	BDGP	7396
DBGP_gypsy11	DBGP	RNA	LTR	Gypsy	gypsy11	BDGP	4428
con7_gypsy12	FLFtoDBGP	RNA	LTR	Gypsy	gypsy12	BDGP	10347
DBGP_gypsy2	DBGP	RNA	LTR	Gypsy	gypsy2	BDGP	6841
DBGP_gypsy3	DBGP	RNA	LTR	Gypsy	gypsy3	BDGP	6973
con8_gypsy4	FLFtoDBGP	RNA	LTR	Gypsy	gypsy4	BDGP	6944
con2_gypsy5	FLFtoDBGP	RNA	LTR	Gypsy	gypsy5	BDGP	8337
con3_gypsy6	FLFtoDBGP	RNA	LTR	Gypsy	gypsy6	BDGP	8001
UnFUnClUnAlig_RLX-incomp_SLO	UnFUnClUnAlig	RNA	LTR	Gypsy	gypsy6A	RepBase	367
DBGP_gypsy7	DBGP	RNA	LTR	Gypsy	gypsy7	BDGP	5486
con3_gypsy8	FLFtoDBGP	RNA	LTR	Gypsy	gypsy8	BDGP	7190
DBGP_gypsy9	DBGP	RNA	LTR	Gypsy	gypsy9	BDGP	5349
con43_H	FLFtoDBGP	DNA	TIR	hAT-hobo	H	BDGP	3009
con13_HB	FLFtoDBGP	DNA	TIR	TcMar-Tc1	HB	BDGP	1711
DBGP_Helena	DBGP	RNA	LINE	Jockey	Helena	BDGP	1317
DBGP_Helitron	DBGP	DNA	Helitron	Helitron	Helitron	BDGP	564
con21_HeT-A	FLFtoDBGP	RNA	LINE	Jockey	HeT-A	BDGP	6659
con20_HMS-Beagle	FLFtoDBGP	RNA	LTR	Gypsy	HMS-Beagle	BDGP	7191
con10_HMS-Beagle2	FLFtoDBGP	RNA	LTR	Gypsy	HMS-Beagle2	BDGP	7435
con11_hopper	FLFtoDBGP	DNA	TIR	CMC-Transib	hopper	BDGP	1453
con5_hopper2	FLFtoDBGP	DNA	TIR	CMC-Transib	hopper2	BDGP	2770
con26_I-element	FLFtoDBGP	RNA	LINE	I	I-element	BDGP	5448
UnFUnClUnAlig_RIX-comp_TEN	UnFUnClUnAlig	RNA	LINE	I	I-element	tBlastx	3075
con10_Idefix	FLFtoDBGP	RNA	LTR	Gypsy	Idefix	BDGP	10984
con7_Dbuz-INE-1	FLFtoDBGP	DNA	Helitron	INE-1	INE-1	BDGP	1542
DNAREP1_INE-1	FLFtoDBGP	DNA	Helitron	INE-1	INE-1	BDGP	683
con4_UnFUnCl002_DHX-incomp	UnFUnClAlig	DNA	Helitron	INE-1	INE-1	RepBase	449
UnFUnClUnAlig_DHX-incomp_COR	UnFUnClUnAlig	DNA	Helitron	INE-1	INE-1	RepBase	670
con8_invader1	FLFtoDBGP	RNA	LTR	Gypsy	Invader1	BDGP	4124
con3_invader2	FLFtoDBGP	RNA	LTR	Gypsy	Invader2	BDGP	5184
con24_UnFmcl003_noCat	UnFmclCluster	RNA	LTR	Gypsy	Invader3	tBlastx	1183
con17_invader3	FLFtoDBGP	RNA	LTR	Gypsy	Invader3	BDGP	5576
con14_invader4	FLFtoDBGP	RNA	LTR	Gypsy	Invader4	BDGP	3114
DBGP_invader5	DBGP	RNA	LTR	Gypsy	Invader5	BDGP	4038
con4_invader6	FLFtoDBGP	RNA	LTR	Gypsy	Invader6	BDGP	5393
con21_Ivk	FLFtoDBGP	RNA	LINE	I	Ivk	BDGP	5483
con20_jockey	FLFtoDBGP	RNA	LINE	Jockey	jockey	BDGP	5032
DBGP_jockey2	DBGP	RNA	LINE	Jockey	jockey2	BDGP	3428
con2_Dbuz-Kepler	FLFtoDBGP	RNA	TRIM	Gypsy	Kepler	BDGP	1760
con7_UnFmcl002_RXX-LARD	UnFmclCluster	RNA	LARD	LARD	LARD	tBlastx	25097
con3_looper1	FLFtoDBGP	DNA	TIR	PiggyBac	looper1	BDGP	3398
con9_UnFUnCl001_DTX-incomp	UnFUnClAlig	DNA	TIR	TcMar-Tc1	Mariner_CA	RepBase	526
con11_mariner2	FLFtoDBGP	DNA	TIR	TcMar-Tc1	mariner2	BDGP	1300
con17_Max-element	FLFtoDBGP	RNA	LTR	Pao	Max-element	BDGP	9226
con42_mdg1	FLFtoDBGP	RNA	LTR	Gypsy	mdg1	BDGP	9609
con26_mdg3	FLFtoDBGP	RNA	LTR	Gypsy	mdg3	BDGP	5911
con13_UnFmcl013_RLX-incomp	UnFmclCluster	RNA	LTR	Gypsy	Micropia	RepBase	4617
con8_micropia	FLFtoDBGP	RNA	LTR	Gypsy	Micropia	BDGP	5536
UnFUnClUnAlig_RLX-incomp_TOM	UnFUnClUnAlig	RNA	LTR	Gypsy	Micropia	tBlastx	1969
UnFmclCluster051_DTX-incomp_SLO	UnFmclCluster	DNA	TIR	NewFam	NewFam06	NotAssigned	4331
UnFUnClUnAlig_DXX-MITE_COR	UnFUnClUnAlig	DNA	MITE	NewFam	NewFam14	NotAssigned	1279
UnFUnClUnAlig_RXX-TRIM_B22_2	UnFUnClUnAlig	RNA	TRIM	NewFam	NewFam16	NotAssigned	807
DBGP_aurora	DBGP	RNA	LTR	Pao	Ninja	BDGP	4263
con2_NOF	FLFtoDBGP	DNA	TIR	MULE-NOF	NOF	BDGP	5276
con25_opus	FLFtoDBGP	RNA	LTR	Gypsy	Nomad	BDGP	7741
DBGP_Osvaldo	DBGP	RNA	LTR	Gypsy	Osvaldo	BDGP	1543
con33_P-element	FLFtoDBGP	DNA	TIR	P	P-element	BDGP	3641
DBGP_Penelope	DBGP	RNA	PLE	Penelope	Penelope	BDGP	804
UnFUnClUnAlig_RLX-incomp_FIN	UnFUnClUnAlig	RNA	LTR	Gypsy	Pifo	RepBase	650
con15_pogo	DBGP	DNA	TIR	TcMar-Pogo	pogo	BDGP	2233
con19_Quasimodo	FLFtoDBGP	RNA	LTR	Gypsy	Quasimodo	BDGP	7527
con10_McClintock	FLFtoDBGP	RNA	LTR	Gypsy	Quasimodo2	BDGP	6489
DBGP_R1-2	DBGP	RNA	LINE	R1	R1-2	BDGP	3216
DBGP_R1A1-element	DBGP	RNA	LINE	R1	R1A1-element	BDGP	5356
DBGP_R2-element	DBGP	RNA	LINE	R2	R2-element	BDGP	3607
con48_roo	FLFtoDBGP	RNA	LTR	Pao	roo	BDGP	9469
DBGP_rooA	DBGP	RNA	LTR	Pao	rooA	BDGP	7621
con17_rover	FLFtoDBGP	RNA	LTR	Pao	rover	BDGP	7848
con14_Rt1a	FLFtoDBGP	RNA	LINE	R1	Rt1a	BDGP	5437
con15_Rt1b	FLFtoDBGP	RNA	LINE	R1	Rt1b	BDGP	5114
DBGP_Rt1c	DBGP	RNA	LINE	R1	Rt1c	BDGP	5443
UnFUnClUnAlig_noCat_SLO	UnFUnClUnAlig	RNA	LINE	R1	Rt1c	tBlastx	1589
con22_S-element	FLFtoDBGP	DNA	TIR	TcMar-Tc1	S-element	BDGP	1815
DBGP_Stalker	DBGP	RNA	LTR	Gypsy	Stalker	BDGP	7256
con22_Stalker2	FLFtoDBGP	RNA	LTR	Gypsy	Stalker2	BDGP	7975
con6_Stalker3	FLFtoDBGP	RNA	LTR	Gypsy	Stalker3	BDGP	609
con12_Stalker4C	FLFtoDBGP	RNA	LTR	Gypsy	Stalker4	BDGP	3635
con2_UnFUnCl003_RLX-incomp	UnFUnClAlig	RNA	LTR	Gypsy	Stalker4	tBlastx	2701
con7_Stalker4	FLFtoDBGP	RNA	LTR	Gypsy	Stalker4	BDGP	7415
con45_Tabor	FLFtoDBGP	RNA	LTR	Gypsy	Tabor	BDGP	7535
DBGP_TART-A	DBGP	RNA	LINE	Jockey	TART-A	BDGP	13424
DBGP_TART-B	DBGP	RNA	LINE	Jockey	TART-B	BDGP	10654
DBGP_TART-C	DBGP	RNA	LINE	Jockey	TART-C	BDGP	11124
con13_Tc1	FLFtoDBGP	DNA	TIR	TcMar-Tc1	Tc1	BDGP	1706
con3_Tc1-2	FLFtoDBGP	DNA	TIR	TcMar-Tc1	Tc1-2	BDGP	1666
con2_Tc3	FLFtoDBGP	DNA	TIR	TcMar-Tc1	Tc3	BDGP	4007
con12_TAHRE	FLFtoDBGP	RNA	LINE	Jockey	THARE	BDGP	10540
con26_Tirant	FLFtoDBGP	RNA	LTR	Gypsy	Tirant	BDGP	8892
DBGP_Tom1	DBGP	RNA	LTR	Gypsy	Tom1	BDGP	410
con5_transib1	FLFtoDBGP	DNA	TIR	CMC-Transib	transib1	BDGP	2753
con19_transib2	FLFtoDBGP	DNA	TIR	CMC-Transib	transib2	BDGP	2867
DBGP_transib3	DBGP	DNA	TIR	CMC-Transib	transib3	BDGP	2883
DBGP_transib4	DBGP	DNA	TIR	CMC-Transib	transib4	BDGP	2656
con24_Transpac	FLFtoDBGP	RNA	LTR	Gypsy	Transpac	BDGP	5291
DBGP_ZAM	DBGP	RNA	LTR	Gypsy	ZAM	BDGP	8435
